data set,log_g0,Gamma_t,u,alpha,temperature,log_n
-159.3,7.096714739666634,0.01375,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-157.6,7.802854455391356,0.01500,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-155.9,6.011544863382586,0.02125,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-154.2,6.513477980529291,0.03250,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-152.5,6.588804454087373,0.04000,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-150.8,6.929855243889929,0.04250,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-149.1,6.781872103658861,0.04250,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-147.4,7.483262940699095,0.04500,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-145.7,7.444140775092584,0.05000,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-144.0,8.123499789542484,0.06000,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
-142.3,9.364056793825304,0.09000,0.333,0.7661595015392334,0.07738485787265738,10.950747108384638
